"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04359303","Indirect Endovenous Systemic Ozone for New Coronavirus Disease (COVID19) in Non-intubated Patients","OzonoCOVID19","Not yet recruiting","No Results Available","COVID","Other: Systemic indirect endovenous ozone therapy","COVID19 clinical scale|Number of died patients|Oro/nasopharynx virus|Thorax imaging (0=none; 1=unilateral; 2=bilateral; 3=ground-glass opacification; 4=consolidation)|Days in hospital|Venous gas blood analysis","Javier Hidalgo Tallón|Sociedad Española de Ozonoterapia|Universidad Católica San Antonio de Murcia","All","18 Years and older   (Adult, Older Adult)","Phase 3","50","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","P.Inv. Ozono-COVID19 Ver.1.2","July 2020","November 2020","December 2020","April 24, 2020",,"June 23, 2020","SEOT, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT04359303"
2,"NCT04427254","Study of the Sars-Cov2 Neuroinvasiveness - COVID19","CORONEVRAXE","Not yet recruiting","No Results Available","COVID19","Drug: Cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies","Percentage of patients with COVID-19 positive samples/biopsies","Fondation Ophtalmologique Adolphe de Rothschild","All","18 Years and older   (Adult, Older Adult)","Not Applicable","500","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","PBN_2020_16","June 2020","June 2022","June 2022","June 11, 2020",,"June 11, 2020","Fondation A de Rothschild, Paris, France",,"https://ClinicalTrials.gov/show/NCT04427254"
3,"NCT04377685","Prediction of Clinical Course in COVID19 Patients","COVID-CTPRED","Recruiting","No Results Available","COVID 19","Other: CT-Scan","diagnostic of COVID disease composite","Centre Hospitalier Universitaire de Saint Etienne|Institut National des Sciences Appliquées (INSA)|Institut National de la Santé Et de la Recherche Médicale, France|Centre National pour le Recherche Scientifique (CNRS)|Université de Lyon|Université Jean Monnet","All","18 Years and older   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","20CH109|IRBN652020/CHUSTE","March 1, 2020","September 30, 2020","September 30, 2020","May 6, 2020",,"May 18, 2020","Chu Saint-Etienne, Saint-Étienne, France",,"https://ClinicalTrials.gov/show/NCT04377685"
4,"NCT04386668","Let It Out (LIO) and COVID19: Testing an Online Emotional Disclosure-based Intervention During the COVID19 Pandemic","LIO-C","Not yet recruiting","No Results Available","COVID19","Other: Let It Out (LIO)-C|Other: Neutral writing control","Kessler Psychological Distress Scale (K10)|Perceived Stress Scale (PSS-10)|Pittsburgh Sleep Quality Index (PSQI)|Self-compassion scale (SCS)|UCLA Loneliness Scale (UCLA LS)|Uptake of existing mental health services (MHS)|Mood and meaning|Acceptability","University College, London","All","18 Years and older   (Adult, Older Adult)","Not Applicable","286","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Other","15281/003","May 2020","September 2020","November 2020","May 13, 2020",,"May 15, 2020",,,"https://ClinicalTrials.gov/show/NCT04386668"
5,"NCT04396067","Combination With Inhibitor of Neutrophil Elastase (All-trans Retinoic Acid ) and Isotretinoin May Enhances Neutralizing Antibodies in COVID -19 Infected Patients Better Than COVID-19 Inactivated Vaccines","Antibodies","Not yet recruiting","No Results Available","COVID -19","Drug: Aerosolized 13 cis retinoic acid|Drug: Aerosolized All trans retinoic acid|Other: Placebo","lung injury score|Serum levels of CRP, ESR ,IL-1,IL-6,TNF and Type I interferon|Serum level of COVID19 RNA|d-dimers|Absolute lymphocyte counts|The immune correlates of protection against future exposure to SARS-CoV-2|Immunological profile|Total duration of mechanical ventilation, ventilatory weaning and curarisation|Occurrence of adverse event related to immunoglobulins|IgG, IgA and IgM against COVID-19|ACE2 expression in patients with COVID-19 infection|All cause mortality rate [|Ventilation free days|ICU free days","Kafrelsheikh University|Damietta University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","360","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID-19","June 2020","September 2020","November 2020","May 20, 2020",,"June 1, 2020",,,"https://ClinicalTrials.gov/show/NCT04396067"
6,"NCT04379284","Risks of COVID19 in the Pregnant Population",,"Not yet recruiting","No Results Available","COVID19","Other: Biospecimen collection","Determine the prevalence of maternal fetal transmission of COVID19|Describe the outcomes of COVID19 positive pregnancies|Understand the placental impact of COVID19 in pregnancy at various gestational ages","Mayo Clinic","Female","18 Years to 45 Years   (Adult)",,"100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","20-003251","May 5, 2020","April 30, 2021","July 31, 2021","May 7, 2020",,"May 11, 2020","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04379284"
7,"NCT04349371","Saved From COVID-19",,"Recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: Placebo oral tablet","Number of symptomatic illness in at risk healthcare workers|Number of healthcare workers with symptomatic COVID infections|Number of severe illness in at risk healthcare workers|Number of sero-conversions in at risk healthcare workers|Percentage of patients with adverse events Grade 3 or higher|Percentage of patients with GI intolerance","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2","350","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","AAAS9992","April 2020","April 2021","April 2021","April 16, 2020",,"April 21, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04349371"
8,"NCT04346446","Efficacy of Convalescent Plasma Therapy in Severely Sick COVID-19 Patients",,"Completed","No Results Available","COVID","Drug: Convalescent Plasma Transfusion|Other: Supportive Care|Drug: Random Donor Plasma","Proportion of patients remaining free of mechanical ventilation in both groups|Mortality in both groups|Improvement in Pa02/Fi02 ratio in both groups|Improvement in SOFA score in both groups|Duration of hospital Stay in both group.|Duration of Intensive Care Unit stay in both groups.|Requirements of Vasopressor in both groups.|Days free of dialysis in both groups.","Institute of Liver and Biliary Sciences, India","All","18 Years and older   (Adult, Older Adult)","Phase 2","29","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ILBS-COVID-02","April 20, 2020","May 30, 2020","May 30, 2020","April 15, 2020",,"June 12, 2020","Maulana Azad medical College, New Delhi, Delhi, India|Institute of Liver and Biliary Sciences, New Delhi, Delhi, India",,"https://ClinicalTrials.gov/show/NCT04346446"
9,"NCT04449094","Emergence of the COVID 19 Epidemic in the City of Nice",,"Completed","No Results Available","COVID",,"Attack rate","Centre Hospitalier Universitaire de Nice","All","Child, Adult, Older Adult",,"200","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Retrospective","20dspcovid01","February 28, 2020","March 30, 2020","April 4, 2020","June 26, 2020",,"June 26, 2020","CHU de Nice, Nice, France",,"https://ClinicalTrials.gov/show/NCT04449094"
10,"NCT04388436","Post Covid-19 Cardiopulmonary and Immunological Changes","covid-19","Active, not recruiting","No Results Available","COVID",,"measurement of pulmonary function changes either obstructive or restrictive also lung diffusion and if there is remaining interstitial fibrosis|measurement for cardiac function and ejection fraction changes and if there is changes in pulmonary artery pressure|assessment of IGM and IGG level and if there is immunological changes","Mansoura University","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20.05.67","May 11, 2020","July 10, 2021","October 10, 2021","May 14, 2020",,"May 19, 2020","Mansoura faculty of medicine, Mansoura, Dakahlia, Egypt",,"https://ClinicalTrials.gov/show/NCT04388436"
