Platform,Type of candidate vaccine,Developer,Coronavirus target,Current stage of clinical evaluation/regulatory status- Coronavirus candidate,Same platform for non-Coronavirus candidates
Inactivated,Inactivated + alum,Sinovac,SARS-CoV2,Phase 3,SARS
,,,,NCT04456595,
,,,,Phase 1/2,
,,,,NCT04383574,
,,,,NCT04352608,
Non- Replicating Viral Vector,ChAdOx1-S,University of Oxford/AstraZeneca,SARS-CoV2,Phase 3,"MERS, influenza, TB, Chikungunya, Zika, MenB, plague"
,,,,ISRCTN89951424,
,,,,Phase2b/3,
,,,,2020-001228-32,
,,,,Phase 1/2,
,,,,PACTR202006922165132,
,,,,2020-001072-15,
Non- Replicating Viral Vector,Adenovirus Type 5 Vector,CanSino Biological Inc./Beijing Institute of Biotechnology,SARS-CoV2,Phase 2,Ebola
,,,,ChiCTR2000031781,
,,,,Phase 1,
,,,,ChiCTR2000030906 ,
RNA,"LNP-
encapsulated mRNA",Moderna/NIAID,SARS-CoV2,Phase 2,multiple candidates
,,,,NCT04405076,
,,,,Phase 1,
,,,,NCT04283461,
DNA,DNA plasmid vaccine with electroporation,Inovio Pharmaceuticals/ International Vaccine Institute,SARS-CoV2,Phase 1/2,multiple candidates
,,,,NCT04447781,
,,,,NCT04336410,
DNA,DNA plasmid vaccine,Cadila Healthcare Limited,SARS-CoV2,"Phase 1/2 CTRI/2020/07/026352
(not yet recruiting)",
Inactivated,Inactivated,"Wuhan Institute of Biological
Products/Sinopharm",SARS-CoV2,Phase 1/2 ChiCTR2000031809,
Inactivated,Inactivated,Beijing Institute of Biological Products/Sinopharm,SARS-CoV2,Phase 1/2 ChiCTR2000032459,
Protein Subunit,"Full length recombinant SARS CoV-2
glycoprotein nanoparticle vaccine adjuvanted with
Matrix M",Novavax,SARS-CoV2,Phase 1/2,"RSV; CCHF, HPV, VZV, EBOV"
,,,,NCT04368988,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RNA,3 LNP-mRNAs,BioNTech/Fosun Pharma/Pfizer,SARS-CoV2,Phase 1/2,
,,,,2020-001038-36,
,,,,NCT04368728,
DNA,DNA Vaccine (GX-19),Genexine Consortium,SARS-CoV2,Phase 1 NCT04445389,
DNA,DNA plasmid vaccine + Adjuvant,Osaka University/ AnGes/ Takara Bio,SARS-CoV2,Phase 1 JapicCTI-205328,
Inactivated,Inactivated,"Institute of Medical Biology
, Chinese Academy of
Medical Sciences",SARS-CoV2,Phase 1 NCT04412538,
"Non- Replicating
Viral Vector",Adeno-based,Gamaleya Research Institute,SARS-CoV2,Phase 1,
,,,,NCT04436471,
,,,,NCT04437875,
Protein Subunit,Native like Trimeric subunit Spike Protein vaccine,Clover Biopharmaceuticals Inc./GSK/Dynavax,SARS-CoV2,Phase 1,"HIV, REV Influenza"
,,,,NCT04405908,
,,,,,
,,,,,
Protein Subunit,Adjuvanted recombinant protein  (RBD- Dimer),"Anhui Zhifei Longcom Biopharmaceutical/ Institute of Microbiology, Chinese Academy of
Sciences",SARS-CoV2,Phase 1,MERS
,,,,NCT04445194,
,,,,,
,,,,,
,,,,,
Protein Subunit,"Recombinant spike protein with Advax™
adjuvant",Vaxine Pty Ltd/Medytox,SARS-CoV2,Phase 1,
,,,,NCT04453852,
,,,,,
,,,,,
RNA,LNP-nCoVsaRNA,Imperial College London,SARS-CoV2,"Phase 1
ISRCTN17072692","EBOV; LASV, MARV,
Inf (H7N9), RABV"
RNA,mRNA,Curevac,SARS-CoV2,Phase 1 NCT04449276,"RABV, LASV, YFV; MERS, InfA, ZIKV,
DENV, NIPV"
RNA,mRNA,"People's Liberation Army (PLA) Academy of Military
Sciences/Walvax Biotech.",SARS-CoV2,Phase 1 ChiCTR2000034112,
VLP,Plant-derived VLP,Medicago Inc./ Université Laval,SARS-CoV2,"Phase 1 NCT04450004
(not yet recruiting)","Flu, Rotavirus, Norovirus, West
Nile virus, Cancer"
